KEY,en,cs,zh_Hant,ru,de,pl,sv,bg,tl,ro,pt,fr,es,es_AR,nb,it,da,es_MX,tr,ja,fi,vi,cmn
Languages,Languages,Jazyky,語言,Языки,Sprachen,Języki,Språk,Езици,,Limbi,Línguas ,Langues,,Lenguajes,,,Sprog,Lenguajes,,,Kielet,Ngôn ngữ,
Wishlist!,Wishlist!,Přidejte si do seznamu přání!,加入願望清單！,В желаемое!,Wunschliste!,Dodaj do Listy Życzeń!,Önskelista!,Добави към списък с желания!,,,lista de desejos!,Ajoutez à la liste des Souhaits!,,,,,Ønskeliste!,Lista de deseos,,,Toivelista,,
Version {version},Version {version},Verze {version},版本{version},Версия {version},Version {version},Wersja {version},Version {version},Версия {version},,Versiune {version},Versão {version},Version {version},,,,,,{version},,,Versio {version} ,Phiên bản {version},
MAX LEVEL,MAX LEVEL,MAX LEVEL,最高等級,Максимальный уровень,MAXIMALES LEVEL,MAKSYMALNY POZIOM,HÖGSTA NIVÅ,МАКСИМАЛНО НИВО,,NIVEL MAXIM,NÍVEL MAXIMO,DERNIER NIVEAUX,,,,,,NIVEL MAXIMO,,,MAX TASO,CẤP TỐI ĐA,
Requires upgrade {name},Requires upgrade {name},Vyžaduje vylepšní {name},需要升級{name},Требуется улучшение {name},Benötigt Verbesserung {name},Wymaga ulepszenia {name},Kräver uppgradering {name},Изисква подобрение {name},,,Requer amelhoração {name},Nécessite amélioration {name},,,,,,Requiere mejora {name},,,Vaatii {nimi} päivityksen,Cần nâng cấp {name},
Requires research {name},Requires research {name},Vyžaduje výzkum {name},需要研究{name},Требуется исследование {name},Benötigt Forschung {name},Wymaga badania {name},Kräver forskning {name},Изисква проучване {name},,,Requer pesquisa {name},Nécessite recherche {name},,,,,,Requiere investigacion {name},,,Vaatii tutkimuksen {nimi} ,Cần nghiên cứu {tên},
LOCKED,LOCKED,ZAMČENO,未解鎖,Заблокировано,GESPERRT,ZABLOKOWANE,LÅST,ЗАКЛЮЧЕНО,,,BLOQUEADO,VÉRROUILLÉ,,,,,LÅST,BLOQUEADO,,,LUKITTU,ĐÃ KHOÁ,
Unlocked,Unlocked,Odemčeno,已解鎖,Разблокировано,Entsperrt,Odblokowane,Upplåst,Отключено,,,Desbloqueado,Déverrouillé,,Desbloqueado,,,Oplåst,Desbloqueado,,,,mở khoá,
FREE!,FREE!,ZDARMA!,免費!,БЕСПЛАТНО!,GRATIS!,GRATIS!,GRATIS!,БЕЗПЛАТНО!,,,GRATUITO!,GRATUIT!,,¡GRATIS!,,,GRATIS!,GRATIS!,,,ILMAINEN! ,,
Sell All,Sell All,Prodat Vše,售出全部,Продать всё,Alle verkaufen,Sprzedaj wszystko,Sälj allt,Продай всички,,,Vender Tudo,Tout Vendre,,Vender todo,,,Sælg alt,Vender todo,,,Myy kaikki,Bán hết tất cả,
Fish Tank {number},Fish Tank {number},Akvárium {number},水槽{number},Аквариум №{number},Becken {number},Zbiornik na ryby {number},Fiskakvarium {number},Аквариум {number},,,Aquário {number},Aquarium {number},,,,,,tanque de peces {number},,,Akvaario {number} ,,
Press {input} to exit,Press {input} to exit,Zmáčkněte {input} pro vrácení,按{input}離開,Нажмите {input} чтобы закрыть,Drücke {input} zum verlassen,"Naciśnij {input}, by wyjść",Tryck på {input} för att lämna,Натисни {input} за изход,,,Aperte {input} para sair,Appuyer {input} pour quitter,,,,,,Presiona {input} para salir,,,Paina {input} poistuakseen,,
Customize,Customize,Upravit,自訂,Кастомизация,Anpassen,Dostosuj,Anpassa,Персонализирай,,,Personalizar,Personnaliser,Personalizar,Personalizar,,,Tilpas,Personalizar,,,Kustomoi,,
Hair,Hair,Vlasy,髮型,Волосы,Haare,Włosy,Hår,Коса,,Păr,Cabelo,Cheveux,Cabello,Cabello,,,Hår,Pelo,,,Hiukset,Tóc,
Pants,Pants,Kalhoty,長褲,Штаны,Hose,Spodnie,Byxor,Панталони,,Pantaloni,Calças ,Pantalons,Pantalones,Pantalones,,,Bukser,Pantalones,,,Housut,Quần,
Shirt,Shirt,Tričko,上衣,Рубашка,Oberteil,Koszulka,Tröja,Риза,,,Camisola,Chandail,,Camisa,,,Trøje,Playera,,,Paita,Áo,
Sleeves,Sleeves,Rukávy,袖子,Рукава,Ärmel,Rękawy,Ärmar,Ръкави,,,Mangas ,Manche,,Mangas,,,,Mangas,,,Hihat,,
Skin Color,Skin Color,Barva Kůže,膚色,Цвет Кожи,Hautfarbe,Kolor skóry,Hudfärg,Цвят на кожата,,Culoare piele,Cor da pele ,Couleur de peau,,Color de piel,,,Hudfarve,Color de piel,,,Ihonväri ,Màu da,
Shoe Color,Shoe Color,Barva Bot,鞋子顏色,Цвет Обуви,Schuhe,Kolor butów,Skofärg,Цвят на обувките,,Culoare pantofi,Cor dos sapatos,Couleur du soulier,,,,,Skofarve,Color de zapato,,,Kengän väri ,Màu giày,
Randomize,Randomize,Náhodně,隨機,Случайно,Zufällig,Losuj,Slumpa,Разбъркай,,Alege aleatoriu,Aleatório ,Aléatoire,,Aleatorizar,,,,Aleatorio,,,Satunnaista,Ngẫu nhiên,
Shorts,Shorts,Kraťasy,短褲,Шорты,Shorts,Szorty,Shorts,Шорти,,Pantaloni scurți,Calções,Shorts,,,,,Shorts,Shorts,,,Shortsit,,
Short Sleeves,Short Sleeves,Krátké Rukávy,短袖,Короткие рукава,Kurze Ärmel,Krótkie rękawy,Korta ärmar,Къси ръкави,,,Manga curta,manche courte,,,,,,manga corta,,,Lyhythihaiset,,
Long Sleeves,Long Sleeves,Dlouhé Rukávy,長袖,Длинные рукава,Lange Ärmel,Długie rękawy,Långa ärmar,Дълги ръкави,,,Manga longa,manche longue,,,,,,manga larga,,,Pitkähihaiset,,
T-Shirt,T-Shirt,Tričko,T恤,Футболка,T-Shirt,T-Shirt,T-Shirt,Тениска,,Tricou,T-Shirt,t-shirt,,,,,T-shirt,Camisa,,,T-paita,,
Chef,Chef,Kuchař,主廚,Шеф,Koch,Kucharz,Kock,Готвач,,,Chefe,Chef-Cuisinier,,,,,Kok,Cocinero,,,Kokki,Đầu bếp,
Button Up,Button Up,Košile,襯衫,,Zugeknöpft,Koszula,Skjorta,Закопчаване с копчета,,,Botão pra cima,,,,,,,,,,,,
Bed Head,Bed Head,Rozcuchané,雜亂髮型,Утренняя,Bettkopf,Poranna fryzura,Morgonfrisyr,Глава от леглото,,,Despenteado ,,,,,,,,,,,,
Mop,Mop,Mop,拖把頭,Швабра,Mähne,Mop,Mopp,Стил Парцал,,Mop,Esfregona ,,,,,,,,,,Moppi,,
Flat Top,Flat Top,Placka,平頭,Площадка,Flattop,Na kwadrat,Helikopterplatta,Равна блуза,,,Topo Plano,,,,,,,,,,,,
Ponytail,Ponytail,Culík,馬尾,Хвостик,Pferdeschwanz,Kucyk,Hästsvans,Опашка,,,Rabo de cavalo,Queue de cheval,,,,,Hestehale,Coleta,,,Poninhäntä,,
Receding,Receding,Kouty,高額頭,Редеющие,Haarverlust,Zakola,Tillbakagående,Къдрава коса,,,Recuando,Reculé,,,,,,,,,,,
Bob Cut,Bob Cut,Mikádo,鮑伯頭,Каре,Bob Cut,Bob ,Bobfrisyr,Боб подстригване,,,Corte bob,Coupe au carré,,,,,,,,,,,
Long,Long,Dlouhé,長髮,Длинные,Lang,Długie,Långt,Дълга коса,,Lung,Longo,Longs,,,,,,Largo,,,Pitkä,,
Bowl Cut,Bowl Cut,Hrnec,西瓜皮,Горшок,Topfschnitt,Na mnicha,Pottfrilla,Тип купа,,,Cabeça de Tigela ,Coupe au bol,,,,,Grydehår,,,,,,
Bald,Bald,Pleška,光頭,Лысый,Glatze,Łysy,Flintis,Плешиво,,Chel,Careca,Chauve,,Calvo,,,Skaldet,Pelon,,,Kalju,,
Balding,Balding,Plašatící,地中海,Лысеющий,Halb Glatze,Łysiejący,Halvflint,Оплешивяващо,,Chelește,Calvície,Calvitie,,,,,,,,,,,
Buzz Cut,Buzz Cut,Ježek,寸頭,Полубокс,Buzz Cut,Buzz cut,Snaggat,Къса коса,,Buzz Cut,Raspado,Buzz Cut,,,,,Karsehår,,,,,,
Chef's Offer,Chef's Offer,Kuchařova Nabídka,主廚的交易,Предложение от Шефа,Angebot der Küche,Specjał kucharza,Kockens erbjudande,Оферта от готвача,,,Oferta do Chefe ,L'offre du Chef,,,,,,,,,Kokin tarjous,,
I need some fish for my restaraunt. How does this deal sound?,I need some fish for my restaraunt. How does this deal sound?,Potřebuji nějaké ryby pro moji restauraci. Co říkáš na tuhle nabídku?,我的餐廳需要一些魚，這筆交易你覺得如何？,Мне нужна рыба для моего ресторана. По рукам?,Ich brauche ein paar Fische für mein Restaurant. Wie findest du dieses Angebot?,Potrzebuję trochę ryb do mojej restauracji. Co powiesz na taką ofertę?,Jag behöver några fiskar till min restaurang. Vad sägs om detta erbjudandet?,Имам нужда от малко риба. Как звучи тази зделка?,,,Preciso de alguns peixes para o meu restaurante. O que achas desta oferta? ,,,Necesito pescado para mi restuarante. ¿Como le parece esta oferta?,,,,Necesito unos peces para mi restaurante. Como ves esta oferta,,,Tarvitsen kalaa ravintolaani. Miltä tämä tarjous kuulostaa? ,,
for {money},for {money},za {money},獲得{money},За {money},für {money},za {money},för {money},за {money},,Pentru {money},Por {money},,,,,,,Por {money},,,{money} summalla,,
Keepnet,Keepnet,Síť na Ryby,魚網,Садок,Kescher,Siatka,Nätkasse,Мрежа,,,Rede de pesca,,,,,,,Red de pezca   ,,,,,
Keepnet {quantity},Keepnet {quantity},Síť na Ryby {quantity},魚網{quantity},Садок {quantity},Kescher {quantity},Siatka {quantity},Nätkasse {quantity},Мрежа {quantity},,,Rede de pesca {quantity},,,,,,,Red de pezca {quantity},,,,,
Fish Caught!,Fish Caught!,Ryba Chycena!,釣到魚囉！,Рыба поймана!,Fisch gefangen!,Ryba złapana!,Fisk fångad!,Хвана риба!,,,Peixe Apanhado!,,,,,,,Pez atrapado!,,,Kala napattu! ,Cá đã bắt,
Decreases bite chance by {percent},Decreases bite chance by {percent},Snižuje šanci zakousnutí ryby o {percent},減少{percent}上鉤機會,Уменьшает шанс поклёвки на {percent},Vermindert die Chance auf einen Fang um {percent},Zmniejsza szansę na branie o {percent},Minska nappchans med {percent},Намалява вероятността на ухапване с {percent},,,Reduz chance de mordida por {percent},,,,,,,,,,Vähentää haukkaamis mahdollisuutta {percent},Giảm tỉ lệ cắn câu đi {percent},
Increases bite chance by {percent},Increases bite chance by {percent},Zvyšuje šanci zakousnutí ryby o {percent},增加{percent}上鉤機會,Увеличивает шанс поклёвки на {percent},Erhöht die Chance auf einen Fang um {percent},Zwiększa szansę na branie o {percent},Öka nappchans med {percent},Увеличава шанса на ухапване с {percent},,,Aumenta chance de mordida por {percent},,,,,,,,,,Nostaa haukkaus mahdollisuutta {percent},Tăng tỉ lệ cắn câu thêm {percent},
No active effect,No active effect,Žádný aktivní efekt,無特殊效果,Нет активных эффектов,Kein aktiver Effekt,Brak aktywnego efektu,Inga aktiva effekter,Няма активен ефект,,Niciun efect activ,Nenhum efeito ativo,,,,,,,No hay efecto activo,,,Ei aktiivista vaikutusta,,
Makes tanks grow algae,Makes tanks grow algae,Nechá akvária zarůstat řasy a zelení,讓水槽長出藻類,На стеклах появляются водоросли,Sorgt dafür das in Becken Algen wachsen,"Sprawia, że w akwarium rosną glony",Får akvarium att gro alger,Кара резервоарите да растат водорасли,,,Faz crescer Algas nos tanques ,,,,,,,Hace que el tanque crezca algas,,,Saa akvaariot kasvamaan levää,Khiến bể mọc tảo,
"Displays the ""Wait"" popup while fishing","Displays the ""Wait"" popup while fishing","Zobrazí ""Čekat"" upozornění při rybaření",釣魚時顯示「等等」提示,"Отображает надпись ""жди"" во время рыбалки","Zeigt den ""Warten"" Popup beim Angeln","Pokazuje
hasło
""Czekaj""
podczas
łowienia ryb","Visar ""Vänta"" pop-upen medans man fiskar",Показва изскачащ прозорец „Изчакай“ по време на риболов,,,"Mostra a pop-up ""Espera"" cuando pesca",,,,,,,,,,"Näyttää ""Odota"" ponnahdusikkunan kalastaessa","Hiện chữ ""Đợi"" khi đang câu cá",
Whether or not minigames have time limits,Whether or not minigames have time limits,Zda mají minihry časový limit,小遊戲是否有時間限制,Несмотря есть ли у мини-игр ограничения по времени или нет,Sollen Minispiele ein Zeitlimit haben,"Określa, czy minigry są ograniczone czasowo",Ifall minigames har en tidsgräns eller inte,Дали мини игрите имат времеви ограничения,,,Se os minijogos têm ou não limite de tempo,,,,,,,,,,Onko peleillä aikarajoituksia tai ei,Lựa chọn minigame có giới hạn thời gian hoặc không,
Be careful with this one!,Be careful with this one!,S tímhle buďte opatrní!,選這個要小心喔!,Будьте осторожны с этим!,Sei vorsichtig mit diesem!,Tylko ostrożnie!,Var försiktig med denna!,Бъдете внимателни с това!,,Ai grijă cu acesta!,Cuidado com este!,,,¡Ten cuidado con este!,,,Pas på med den her!,Cuidado con este!,,,Ole varovainen tämän kanssa! ,Hãy cẩn thận với thứ này!,
Discover this fish to learn more!,Discover this fish to learn more!,Objevte tutu rybu a dozvíte se více!,捕獲這隻魚來了解更多資訊！,Найдите эту рыбу чтобы узнать больше!,Entdecke diesen Fisch um mehr zu erfahren!,"Odkryj rybę, by dowiedzieć się więcej!",Upptäck denna fisken för att ta reda på mer!,"Открийте тази риба, за да научите повече!",,,Descobrir este peixe para aprender mais!,,,,,,,,,,Löydä tämä kala tietääkseen lisää! ,,
Locations,Locations,Lokace,地點,Места,Standorte,Lokacje,Platser,Местоположения,,,Locais ,,,,,,Lokationer,,,,Sijainnit,Địa điểm,
Stats,Stats,Statistiky,統計數據,Статистика,Statistiken,Statystyki,Statistik,Статистика,,Statistici,Estáticas,Statistiques,,Estadísticas,,,Statspoint,Estadisticas,,,Tilastot,Thông số,
{quantity} Caught,{quantity} Caught,{quantity} Chyceno,已捕獲{quantity},{quantity} Поймано,{quantity} gefangen,Wyłowiono {quantity},{quantity} Fångade,{quantity} Уловено,,{quality} Capturat,{quality} Apanhado,{quantity} Attrapés,,,,,,,,,{quantity} napattu ,{quantity} Đã bắt,
Ascend,Ascend,Povznést se,翻新,Восхождение,Aufsteigen,Ascendat,Återfödelse,Възход,,,Subir (Ascensão) ,,,,,,,Ascender,,,Nouse,Thăng hoa,
Select a fish!,Select a fish!,Vyberte Rybu!,選擇一隻魚!,Выберите рыбу!,Wähle einen Fisch!,Wybierz rybę!,Välj en fisk!,Изберете риба!,,Alege un pește!,Selecione um peixe,,,¡Seleccione un pez!,,,Vælg en fisk!,Selecciona un pez!,,,Valitse kala! ,Chọn loài cá!,
Lets you view every fish species and their stats from your inventory,Lets you view every fish species and their stats from your inventory,Umožňuje vám zobrazit všechny druhy ryb a jejich statistiky z vašeho inventáře,讓你直接從背包查看所有魚類與各項數值,Позволяет видеть виды рыб и их характеристики прямо в инвентаре,Lässt dich alle Fische und ihre Statistiken aus deinem Inventar sehen,Pozwala zobaczyć w ekwipunku każdy gatunek ryb oraz ich status,Låter dig se alla fiskarter och deras statistik från ditt förråd ,Позволява ви да видите всеки вид риба и неговата статистика от вашия инвентар,,,Deixa você ver todas as espécies de peixe e suas estáticas pelo o inventário,,,,,,Lader dig se alle fiskeracer og deres statspoint fra din inventar,Te deja ver cada especie de pez y sus estadisticas desde tu inventario,,,,,
Government Grants {level},Government Grants {level},Státní Granty {level},政府補助{level},Правительственные гранты {level},Staatliche Zuschüsse {level},Rządowe dotacje {level},Statliga bidrag {level},Правителствени субсидии {level},,Guvernul oferă {level},Subvenção Governamental {Level,,,,,,,,,,,,
Moving Truck {level},Moving Truck {level},Stěhovací dodávka {level},搬家貨車 {level},,Umzugswagen {level},"Pojazd 
dostawczy
{level}",Flyttbil {level},Камион за преместване {level},,,Camião de Movimentação {level},,,,,,Flyttebil {level},,,,,,
Strong Economy,Strong Economy,Silná Ekonomie,經濟起飛,Сильная Экономика,Starke Wirtschaft,Silna ekonomia,Stark ekonomi,Силна икономика,,Economie Puternica,Economia Forte,,,,,,Stærk økonomi,Economia fuerte,,,Vahva talous,,
Offline Time Limit {level},Offline Time Limit {level},Offline Časový Limit {level},離線時間上限 {level},Лимит Времени Оффлайн {level},Offline Zeit Limit {level},Limit czasu offline,Tidsgräns offline {level},Лимит на времето офлайн {level},,Timp Limită Offline {level},Tempo limite Offline {level},,,,,,,,,,Offline-tilan aikaraja {level} ,,
Offline Efficiency {level},Offline Efficiency {level},Offline Efektivnost {level},離線收益效率 {level},Эффективность Оффлайн {level},Offline Effizienz {level},Wydajność offline {level},Effektivitet offline {level},Ефективност офлайн {level},,Eficiență Offline {level},Eficiência Offline {level},,,,,,,,,,Offline-tilan tehokkuus {level},,
"No fish!

Go catch some in the travel menu","No fish!

Go catch some in the travel menu","Žádné ryby!

Běžte nějaké chytit v menu cestování",目前沒魚！快去「旅遊」選單釣幾隻吧。,Нет рыбы!        Поймайте несколько в меню путешествий,"Kein Fisch!

Geh und fang welche im Reisemenü","Brak ryb!

Pójdź złapać coś w menu podróży","Inga fiskar!

Fånga några i resemenyn","Без риба!

Иди да хванеш малко от менюто за пътуване“",,,"Sem peixe!

Vai apanhar alguns no menu de Viagem",,,,,,Ingen fisk! Fang nogen i rejsemenuen,"No hay peces!

Ve a atrapar unos en el menu de viajes",,,Ei kalaa!																																																Mene nappaamaan lisää matkavalikkoon,,
Algae {multiplier},Algae {multiplier},Řasy {multiplier},藻類產生速度 {multiplier},Водоросли на стекле {multiplier},Algen {multiplier},Glony {multiplier},Alger {multiplier},Водорасли {multiplier},,,Algas {multiplier},Algues {multiplier},,,,,,,,,Levä {multiplier} ,,
Failed!,Failed!,Neúspěch!,失敗!,Не вышло!,Gescheitert!,Niepowodzenie!,Misslyckat!,Неуспешно!,,,Falhado!,Raté!,,,,,Mislykkedes!,Fallo!,,,Epäonnistunut!,Thất bại!,
Hold {input},Hold {input},Držte {input},按住 {input},Зажмите {input},Halte {input},Przytrzymaj {input},Håll inne {input},Задръж {input},,,Manter {input},Maintient {input},,,,,Hold {input} nede,Manten {input},,,Pidä painettuna {input},Giữ {input},
Tap {input},Tap {input},Zmáčkněte {input},點擊 {input},Нажмите {input},Drücke {input},Naciśnij {input},Tryck {input},Докосни {input},,Apasă {input},Toque {input},,,,,,Tryk på {input},Toca {input},,,Paina {input} ,Nhấn {input},
MASH {input}!,MASH {input}!,Mačkejte {input}!,連按 {input}！,ЖМИ {input}!,ZERSTAMPFE {input}!,NACISKAJ {input}!,SPAMMA {input},Натискай,,,APERTE {input} RAPIDO!,,,,,,,,,,,,
Keepnet Full!,Keepnet Full!,Síť Plná!,魚網滿了！,Садок заполнен!,Kescher voll!,Przepełnione Sieci!,Nätkassen är full!,Мрежата е пълна!,,,Rede de pesca Cheia!,,,,,,,Red llena!,,,,,
You caught,You caught,Chytili jste,你釣到了,Вы поймали,Du hast ihn erwischt,Złapano,Du fångade,Хванахте,,Ai capturat,Você apanho,,,Atrapaste,,,Du har fanget,Atrapaste!,,,Sait kiinni,Bạn đã bắt,
Feedback Form,Feedback Form,Formulář Zpětné Vazby,意見回饋表單,Форма Обратной связи,Feedback Formular,Formularz zwrotny,Feedback Formulär,Формуляр за обратна връзка,,Formular de Feedback,Formulário de Opinião ,,,,,,Feedbackskema,Formulario de sugerencias,,,Palautekysely ,Form phản hồi,
Feedback,Feedback,Zpětná Vazba,意見回饋,Обратная связь,Feedback,Opinie,Feedback,Обратна връзка,,Feedback,Opinião,,,Sugerencias,,,Feedback,Sugrerencias,,,Palaute,Phản hồi,
KEY_FEEDBACK,"Thank you so much for trying out the public playtest of Lured In!

I want to give everyone a chance to leave some feedback after playing the game.

Click the button below to open an optional Google feedback form.","Moc vám děkuji, že jste vyzkoušeli veřejnou testovací verzi hry Lured In!

Rád bych všem dal možnost zanechat po dohrání hry zpětnou vazbu.

Kliknutím na tlačítko níže otevřete volitelný Google formulář se zpětnou vazbou.",非常感謝你參與《Lured In!》的公開測試！在體驗遊戲後，我希望每位玩家都有機會能留下寶貴的意見。請點擊下方按鈕，即可開啟選填的 Google 回饋表單。,"Спасибо вам за игру в плейтест Lured In!

Я хочу дать каждому шанс оставить обратную связь после прохождения игры.

Нажмите на кнопку ниже чтобы открыть необязательную форму обратной связи Google.","Danke das Du den öffentlichen Test von Lured In spielst!

Ich möchte jedem eine Chance geben Feedback nach dem spielen dazulassen.

Drücke den unteren Knopf für ein freiwilliges Feedback.","Niezmiernie Ci dziękuję za ogranie wersji testowej Lured In!

Pragnę dać każdemu możliwość podzielenia się swoimi przemyśleniami pod koniec gry.

Kliknij na poniższy przycisk, aby otworzyć formularz dla chętnych na informację zwrotną.","Tack så mycket för att du testar den offentliga speltestningen för Lured In!

Jag vill ge alla en möjlighet att lämna feedback efter att ha spelat spelet.

Klicka på knappen nedan för att öppna ett valfritt Google feedback forum.","„Благодаря ви много, че изпробвахте публичния тест на Lured In!

Искам да дам възможност на всички да оставят обратна връзка след играта.

Кликнете върху бутона по-долу, за да отворите незадължителен формуляр за обратна връзка от Google.“",,,"Muito obrigada por ter tentado o teste publico de Lured In!

Quero dar a oportunidade a todos de deixar a sua opinião depois de ter jogado o jogo.

Clique o botão abaixo para abrir um formulário Google opcional para dar sua opinião.",,,,,,,,,,Kiitos kun kokeilit julkista pelitestausta Lured In:stä!																																															Haluan tarjota kaikille mahdollisuuden jättää palautetta pelin pelaamisen jälkeen.																																												Paina alla olevaa nappia avatakseen vapaaehtoinen Google palaute kysely. ,,
Return to Inventory,Return to Inventory,Vrátit se do Inventáře,收回道具欄,Вернуться в инвентарь,Ins Inventar legen,Wróć do ekwipunku,Återgå till förrådet,Връщане към инвентара,,,Voltar ao inventário,,,Volver al inventario,,,Tilbage til inventar,Volver al inventario,,,Palaa inventaarioon,,
Generating ${cash}/min,Generating ${cash}/min,Generuje ${cash}/min,產生 ${cash}/分鐘,Генерируется ${cash}/min,Einkommen ${cash}/min,Generuje ${cash}/min,Genererar ${cash}/min,Генериране на ${cash}/min,,,Gerando ${cash}/min,,,Generando ${cash}/min,,,Genererer $(cash)/min,Generando ${cash}/min,,,,,
Increases the maximum weight of this tank by {quantity},Increases the maximum weight of this tank by {quantity},Zvýší maximální váhu akvária o {quantity},提升此水槽的最大承重 {quantity},,Erhöht das maximale Gewicht des Beckens um {quantity},Zwiększa wagę tego zbiornika o {quantity},Ökar den maximala vikten för akvariet med {quantity},,,,Aumenta o peso máximo deste aquário por {quantity} ,,,,,,,,,,,,
Increases your feeding bonus time by {quantity} minutes,Increases your feeding bonus time by {quantity} minutes,Zvýší bonus ke krmení o {quantity} minut,延長餵食獎勵時間 {quantity} 分鐘,,Erhöht deine fütterungs Bonus Zeit um {quantity} Minuten,Zwiększa czas dodatkowego karmienia o {quantity} minut ,Ökar matningsbonusens tid med {quantity} minuter,,,,Aumenta o tempo bónus de alimentação por {quantity} minutos,,,,,,,,,,,,
Increases your feeding bonus multiplier by {percent},Increases your feeding bonus multiplier by {percent},Zvýší multiplikátor bonusu krmení o {percent},提升餵食獎勵倍率 {percent},,Erhöht deinen fütterungs Bonus um {percent},Zwiększa mnożnik dodatkowego karmienia o {percent},Ökar matningsbonusen med {percent},,,,Aumenta o seu multiplicador bónus de alimentação por {percent},,,,,,,,,,,,
